CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
01059,01,Araba/Álava,Vitoria-Gasteiz,DISTRITO,0105903,53811,,14VI,53811,0105903Vitoria-Gasteiz,,
01059,01,Araba/Álava,Vitoria-Gasteiz,DISTRITO,0105904,32562,,15VI,32562,0105904Vitoria-Gasteiz,,
01059,01,Araba/Álava,Vitoria-Gasteiz,DISTRITO,0105905,52665,,16VI,52665,0105905Vitoria-Gasteiz,,
01059,01,Araba/Álava,Vitoria-Gasteiz,DISTRITO,0105906,4990,,17VI,4990,0105906Vitoria-Gasteiz,,
02003,02,Albacete,Albacete,DISTRITO,0200308,6282,,01AB,12205,0200308Albacete,,
02035,02,Albacete,"Gineta, La",MUNICIPIO,02035,2512,,01AB,12205,"02035Gineta, La",,
02046,02,Albacete,Mahora,MUNICIPIO,02046,1383,,01AB,12205,02046Mahora,,
02075,02,Albacete,Valdeganga,MUNICIPIO,02075,2028,,01AB,12205,02075Valdeganga,,
02029,02,Albacete,Chinchilla de Monte-Aragón,MUNICIPIO,02029,4206,,02AB,7003,02029Chinchilla de Monte-Aragón,,
02901,02,Albacete,Pozo Cañada,MUNICIPIO,02901,2797,,02AB,7003,02901Pozo Cañada,,
02045,02,Albacete,Madrigueras,MUNICIPIO,02045,4652,,03AB,5223,02045Madrigueras,,
02052,02,Albacete,Motilleja,MUNICIPIO,02052,571,,03AB,5223,02052Motilleja,,
02032,02,Albacete,Fuensanta,MUNICIPIO,02032,297,,04AB,17371,02032Fuensanta,,
02048,02,Albacete,Minaya,MUNICIPIO,02048,1501,,04AB,17371,02048Minaya,,
02050,02,Albacete,Montalvos,MUNICIPIO,02050,97,,04AB,17371,02050Montalvos,,
02069,02,Albacete,"Roda, La",MUNICIPIO,02069,15476,,04AB,17371,"02069Roda, La",,
02073,02,Albacete,Tarazona de la Mancha,MUNICIPIO,02073,6235,,05AB,7329,02073Tarazona de la Mancha,,
02078,02,Albacete,Villalgordo del Júcar,MUNICIPIO,02078,1094,,05AB,7329,02078Villalgordo del Júcar,,
02010,02,Albacete,Alpera,MUNICIPIO,02010,2265,,06AB,5119,02010Alpera,,
02018,02,Albacete,Bonete,MUNICIPIO,02018,1049,,06AB,5119,02018Bonete,,
02039,02,Albacete,Higueruela,MUNICIPIO,02039,1158,,06AB,5119,02039Higueruela,,
02040,02,Albacete,Hoya-Gonzalo,MUNICIPIO,02040,647,,06AB,5119,02040Hoya-Gonzalo,,
02002,02,Albacete,Alatoz,MUNICIPIO,02002,519,,07AB,5513,02002Alatoz,,
